2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
60.8734 	EXP 	window1: recordFrameIntervals = False
61.8761 	EXP 	fixation: autoDraw = True
62.8620 	EXP 	grating: autoDraw = True
62.8620 	EXP 	grating: tex = 'sin'
62.8781 	EXP 	fixation: autoDraw = False
63.1627 	EXP 	grating: autoDraw = False
63.3823 	EXP 	window1: recordFrameIntervals = False
63.3843 	DATA 	Keypress: left
63.3963 	EXP 	fixation: autoDraw = False
63.3963 	EXP 	grating: autoDraw = False
63.3964 	EXP 	window1: recordFrameIntervals = False
64.3997 	EXP 	fixation: autoDraw = True
65.3855 	EXP 	grating: autoDraw = True
65.3855 	EXP 	grating: tex = 'sin'
65.4017 	EXP 	fixation: autoDraw = False
65.6862 	EXP 	grating: autoDraw = False
65.8212 	EXP 	window1: recordFrameIntervals = False
65.8228 	DATA 	Keypress: left
65.8363 	EXP 	fixation: autoDraw = False
65.8363 	EXP 	grating: autoDraw = False
65.8364 	EXP 	window1: recordFrameIntervals = False
66.8392 	EXP 	fixation: autoDraw = True
67.8253 	EXP 	grating: autoDraw = True
67.8253 	EXP 	grating: tex = 'sin'
67.8422 	EXP 	fixation: autoDraw = False
68.1255 	EXP 	grating: autoDraw = False
68.2610 	EXP 	window1: recordFrameIntervals = False
68.2626 	DATA 	Keypress: left
68.2760 	EXP 	fixation: autoDraw = False
68.2760 	EXP 	grating: autoDraw = False
68.2762 	EXP 	window1: recordFrameIntervals = False
69.2787 	EXP 	fixation: autoDraw = True
70.2652 	EXP 	grating: autoDraw = True
70.2652 	EXP 	grating: tex = 'sin'
70.2819 	EXP 	fixation: autoDraw = False
70.5662 	EXP 	grating: autoDraw = False
70.6856 	EXP 	window1: recordFrameIntervals = False
70.6877 	DATA 	Keypress: left
70.6993 	EXP 	fixation: autoDraw = False
70.6993 	EXP 	grating: autoDraw = False
70.6994 	EXP 	window1: recordFrameIntervals = False
71.7020 	EXP 	fixation: autoDraw = True
72.6883 	EXP 	grating: autoDraw = True
72.6883 	EXP 	grating: tex = 'sin'
72.7053 	EXP 	fixation: autoDraw = False
72.9892 	EXP 	grating: autoDraw = False
73.0908 	EXP 	window1: recordFrameIntervals = False
